,comp_name,job_description,job_location,job_posted,job_title
0,CyberCoders,    Minimum Required Skills Data Science  Machine Learning  Statistics  R  Matlab  Big DataBased in Bellevue  we are an international leader in mobile advertising. Our award winning technology platform goes beyond traditional user engagement by retaining audience insights  improving application ROI  and rewarding high quality users.We are in the process of ramping up our data science machine learning team and have an urgent need for a Data Scientist with a deep understanding of machine learning algorithms and statistics to join our group.  Specifically we have multiple openings for Data Scientists that have an interest and or specialize in fraud detection or machine learning. We are looking for team players that possess a desirable yet unique skillset that will bring a distinctive perspective to the group  making our innovative software more scaleable and effective.Top Reasons to Work with Us . Competitive pay and unbeatable bonus structure   . Industry leading technology platform that has won numerous awards 3. Excellent company culture with strong corporate backing while maintaining a start up feelWhat You Will Be Doing  Design  apply and integrate analytical strategies to identify fraudulent activity   Develop algorithms for predictive modeling and clustering   Monitor pattern discovery  outlier detection  and sample design  Oversee implementation of fraud detection and predictive modelsWhat You Need for this Position  Ideally 3+ years of experience in data science related role   Fluent in Python  R  or Matlab   Experience working with open source technologies   High level understanding of machine learning  probability and or statistics   Experience working in the advertising industry highly desirable  Experience working with Big data technologies such as HDFS  Hadoop  and HBase not required preferredWhat s In It for You  Competitive salary   Unbeatable bonus program  seriously though   Comprehensive benefits package including medical  dental  and vision   Generous PTO plus company paid holidays   Excellent company culture   Startup feel with larger company stability   Creative flexibility and total product ownershipSo  if this sounds like you  please apply today Applicants must be authorized to work in the U.S.Please apply directly to by clicking  Click Here to Apply  with your Word resume Looking forward to receiving your resume and going over the position in more detail with you.  Not a fit for this position  Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume CyberCodersCyberCoders  Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race  color  religion  sex  national origin  disability  protected veteran status  or any other characteristic protected by law.Your Right to Work   In compliance with federal law  all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright               . CyberCoders  Inc. All rights reserved.   ,"Bellevue, WA",16 hours ago,Data Scientist - Statistics/Probability/Machine Learning
1,CyberCoders,    Minimum Required Skills Data Science  Artificial Intelligence  Machine Learning  Masters or PHD  CS AI Machine Learning   Statistical Analysis  Open Source Machine Deep Learning FrameworksBased in Seattle  we re an incredibly versatile company creating and executing global initiatives using technology like machine learning  and artificial intelligence in order to address major world wide issues from climate change  to saving an endangered species If you are a Data Scientist or Machine Learning Engineer with experience leading a technical team  please read on What You Will Be Doing  Lead a technical team of brilliant Machine Learning and Artificial Intelligence engineers  Utilize Open Source Frameworks to tackle challenging problems   Deliver Solutions to Complex Problems Utilizing Statistical AnalysisWhat You Need for this PositionAt Least 3 Years of experience and knowledge of   Artificial Intelligence  Machine Deep Learning  Computer Vision  Masters or PHD  Computer Science or Artificial Intelligence or Machine Learning   Statistical Analysis  Open Source Machine Deep Learning FrameworksWhat s In It for You  Competitive Base Salary Between        k  Excellent Benefits  Great PTO Policy  Work Life Balance  Minimal Travel       So  if you are a Data Scientist or Machine Learning Engineer with experience leading a technical team  please apply today Applicants must be authorized to work in the U.S.Please apply directly to by clicking  Click Here to Apply  with your Word resume Looking forward to receiving your resume and going over the position in more detail with you.  Not a fit for this position  Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume CyberCodersCyberCoders  Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race  color  religion  sex  national origin  disability  protected veteran status  or any other characteristic protected by law.Your Right to Work   In compliance with federal law  all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright               . CyberCoders  Inc. All rights reserved.   ,"Seattle, WA",15 hours ago,"Lead Data Scientist - Machine Learning, Statistical Analysis"
2,CyberCoders,    Minimum Required Skills Data Science  Artificial Intelligence  Machine Learning  Masters or PHD  CS AI Machine Learning   Statistical Analysis  Open Source Machine Deep Learning FrameworksBased in Seattle  we re an incredibly versatile company creating and executing global initiatives using technology like machine learning  and artificial intelligence in order to address major world wide issues from climate change  to saving an endangered species If you are a Data Scientist or Machine Learning Engineer with experience leading a technical team  please read on What You Will Be Doing  Lead a technical team of brilliant Machine Learning and Artificial Intelligence engineers  Utilize Open Source Frameworks to tackle challenging problems   Deliver Solutions to Complex Problems Utilizing Statistical AnalysisWhat You Need for this PositionAt Least 3 Years of experience and knowledge of   Artificial Intelligence  Machine Deep Learning  Computer Vision  Masters or PHD  Computer Science or Artificial Intelligence or Machine Learning   Statistical Analysis  Open Source Machine Deep Learning FrameworksWhat s In It for You  Competitive Base Salary Between        k  Excellent Benefits  Great PTO Policy  Work Life Balance  Minimal Travel       So  if you are a Data Scientist or Machine Learning Engineer with experience leading a technical team  please apply today Applicants must be authorized to work in the U.S.Please apply directly to by clicking  Click Here to Apply  with your Word resume Looking forward to receiving your resume and going over the position in more detail with you.  Not a fit for this position  Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume CyberCodersCyberCoders  Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race  color  religion  sex  national origin  disability  protected veteran status  or any other characteristic protected by law.Your Right to Work   In compliance with federal law  all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright               . CyberCoders  Inc. All rights reserved.   ,"Seattle, WA",16 hours ago,"Lead Data Scientist - Machine Learning, Statistical Analysis"
3,TRIAD Group, Senior Data ScientistBellevue  WAFTE   fulltime Perm employee opportunity with one of the best funded and hottest start ups in the area    We are building highly powerful intelligence products and services atop large scale datasets.  And  have multiple Data Scientist positions open  so bring along a friend or two  .  These are not entry level roles  only midlevel and above.  The better job you do of describing your industry experience and qualifications  the faster our reply. Compensation  Your salary will be highly competitive  we will not lose a good candidate on salary .  As for equity  you will be given a very generous stock option plan.  And  we truly care about the health and well being of our employees  so besides some additional perks       of your medical dental vison insurance premiums will be paid for.  Requirements         BS  MS  or PhD degree in Computer Science  Math  Physics  or related.           + years of relevant industry experience   data science  machine learning  market research analytics  predictive analytics  statistical modeling  and or other related areas of interest.3       Proficient in designing and scaling production models  knowledgeable in data tools and scientific computing with Python.        Experienced in Python  SciPy  NumPy  Scikit learn  and Pandas .        Also prefer experience in R  SQL  and Octave.  Please forward a copy of your resume  along with any additional information  to Bruce RootTRIAD GroupBellevue  WAbroot triadgroup.com             ext. 3  We look forward to hearing from you  ,"Bellevue, WA",1 day ago,Senior Data Scientist
4,TRIAD Group, I m working with a well funded start up that is disrupting a rapidly growing  lucrative industry.  Having closed one of the biggest funding rounds in Washington earlier this year  my client is looking to add     employees to their downtown Seattle office to further service a half billion dollar market.  They are well poised to do so  with a customer focus approach that leverages mobile technologies that makes their service simple  fast and affordable.  Though they are growing quickly  their culture is important to them  and they want you to be a part of it From a technical perspective  we re looking for Advanced degree in Computer Science  Math  Statistics or similar quantitative field + years of experience in machine learningStrong coding skills in Java  Python or ScalaExperience with at least one analytics toolkitWe offer exceptional equity  strong base compensation and excellent benefits.  Please submit qualifying resumes for immediate consideration. ,"Seattle, WA",1 week ago,Sr. Data Scientist
5,"VanderHouwen & Associates, Inc.", PLEASE JOIN OUR TALENT NETWORK  http   bit.ly vhatalentnetworkJoining the Talent Network with VanderHouwen   Associates  VHA  will enhance your job search and application experience. Job listings are mobile friendly and easy to review  share  or apply. Whether you choose to just leave us your information or apply  we look forward to connecting with you. SummaryOur client is seeking an outstanding Sr. Data Scientist to uncover key insights on how vendors behave through the  procure to pay  process. As selection continues to grow through retail and marketplace business lines  our client is seeking better understanding of how to improve processes and overall experience. The Sr. Data Scientist will have the opportunity to work on one of the world s largest data sets  as well as influence the long term evolution of its analytics capability. This role should have excellent technical  business and communication skills to be able to work with vendor managers  sellers  inbound supply chain and finance operations to develop and define key business questions  build data acquisition processes  data sets  statistical models and analysis that answer those questions. This role should excel at analytic problem solving and approach high level challenges with a clear eye on what is important  employing the right approach methods to make the maximum use of time and human resources. This role will detail techniques and discoveries to technical and non technical audiences in a language that can be understood. This role requires intellectual curiosity  exploring new territories and finding creative and unusual ways to solve problems.ResponsibilitiesConduct undirected research with regards to ordering  receipt and paying for goods sold through global consumer platforms.Extract huge volumes of data from multiple internal and external sources.Employ sophisticated analytics programs  machine learning and statistical methods to prepare data for use in predictive and prescriptive modeling.Explore and examine data from a variety of angles to determine hidden weaknesses  trends and or opportunities.Devise data driven solutions to the most pressing challenges.Invent new algorithms to solve problems and work with technical teams to build new tools to automate work or provide transparency to issues.Communicate predictions and findings to management and IT departments through effective data visualizations and reports.Recommend cost effective changes to existing procedures and strategies to improve the  procure to pay  processes.Qualifications RequiredMS degree in Econometrics  Statistics  Operations Research  Optimization  Data Mining  Analytics  or other quantitative field. + years  professional experience in Analytics or other quantitative disciplines.Advanced experience and skill level with SAS  R and SQL.Proven experience developing sound analytics based solutions to business problems  critical thinking  and attention to detail.Excellent written and verbal communication skills. The ability to explain technical concepts and analyses implications clearly to a wide audience  and be able to translate business objectives into actionable analyses is required.Qualifications PreferredPhD in a quantitative field and completed graduate school thesis  or dissertation .Demonstrated ability to manage multiple competing priorities simultaneously and drive projects to completion.3+ years  professional experience presenting in front of and influencing senior leadership. ,"Seattle, WA",3 hours ago,Sr. Data Scientist
6,TPR Consulting, TPR is currently looking for a Data Scientist in Bellevue  WA. Our client is a Fortune     company and is one of the Big   Telecom companies. Listed below is the job description. Key Skills requiredMachine Learning ScalaSAS RPythonThe ideal Data Scientist candidate is a creative and passionate problem solver who thinks big  acts quickly  and is motivated to develop new approaches to optimizing our client s business using quantitative techniques and cutting edge technology. Responsibilities  Engage broadly with the business to frame  structure and prioritize business problems where analytic projects or tools can have the biggest impact on our client s business  Perform large scale statistical research  analysis  and modeling in the areas of network analytics  Communicate insights and recommend areas for further data discovery  Design optimization algorithms  working with colleagues to develop and deploy software as required  Research new analytical methods and tools for optimizing the customer experienceQualifications  BS BA degree in Computer Science  Mathematics  Statistics or equivalent education and experience required  advanced degree required    + years hands on experience implementing large scale data analytics solutions  Expert knowledge in using SQL  Scala  R and Python to conduct data analysis and statistical programming with RDBMS such as Netezza Teradata.  Proficient programming skills in the Hadoop environment  Map Reduce  Pig  Hive  HBase  Mahout  a plus  Fluent with experimental design  DOE   Fluency with statistical and machine learning algorithms such as decision trees  neural networks  collaborative filtering  clustering  survival analysis  graph theory  etc.  Knowledge in cloud and engineering platform solutions such as AWS preferable  Knowledge of analysis tools such as Python  SAS  R  or Matlab  Curiosity and excitement for delivering truly unique and differentiating customer experiences  Excellent written and verbal communication skillsWe are looking to interview and hire candidates ASAP. Please contact us if interested  teddylee tprconsultingservices.com.  ,"Bellevue, WA",4 days ago,"Data Scientist (Machine Learning, Scala, R, Python)"
7,Comtech LLC, Job DescriptionAre you interested in shaping the future of movies  television  and digital video  Do you want to define what video content customers are watching  Video Direct  VD  is a self service platform that enables any video creator to publish video to reach millions of customers globally and monetize from the sales and consumption.Video content risk inspection team is chartered to protect and mitigate any inappropriate disappointing content as well as any copyright infringement content to provide a trust worthy customer experience as well as secure existing provider relationships.On the team you ll be able to get your hands on lots of technologies to build distributed  scalable  low latency solutions for real world customer facing problems.  We are looking for an Senior Research Scientist who can work on different aspects of the video content  like text metadata  video  audio and images to apply from variety of techniques in computer vision  deep learning  machine learning and image processing algorithms to build content risk inspection systems. You will be contributing to a platform from the very early stages which will process terabytes of video content data. You will collaborate with other research scientist across to define the scope of the product  identify and initiate investigations of new technologies  prototype  test solutions and ability to web lab performance between different approaches that generates a high precision  low latency prediction models and deliver an exceptional customer experience. You will work closely with the software development teams to build robust vision based solutions for customer facing applications. You should be comfortable with a large degree of ambiguity and relish the idea of solving problems that  frankly  haven t been solved at scale before. Along the way  we guarantee that you ll learn a ton  have fun and make a positive impact on millions of people.Basic QualificationsPhD in Computer Science  Machine Learning  Operational Research  Statistics or a related quantitative fieldDepth and breadth in state of the art computer vision and machine learning technologies + years of hands on experience in predictive modeling and analysisStrong algorithm development experienceSkills with Java  C++  or other programming language  as well as with R  MATLAB  Python or similar scripting languagePreferred Qualifications  + years of relevant experience in industry and or academia.Publications at top tier peer reviewed conferences or journalsProven track record of innovation in creating novel algorithms and advancing the state of the artDepth and breadth in state of the art computer vision and machine learning technologies.  Thanks   Regards MatthewUS IT StaffingPhone   Direct  +    3          ,"Seattle, WA",10 hours ago,Senior Research Scientist OR Data Scientist
8,Matrix Technology Group, Hello   Matrix Technology Group is a highly recognized provider of professional IT Consulting services in the US.  Founded in       Matrix Technology Group is an ERP  BI and Application Development consulting services provider.Here is our Direct Client requirement. Kindly respond to this requirement with your consultant resume  contact  visa status  rate and current location info to speed up the interview process.  Role  Data Scientist Must Skills   Java  AWS  Spark kafka  Data Analysis and predictive modelingLocation  Seattle  WADuration   + MonthsExtension Possible   Yes Job DescriptionJava AWS  Data Scientist Engineer     Java or Python  Spark Kafka   BigData    SQL and NoSQL databases   data analysis and predictive modeling  + year in AWS is must along with  + years in Java. Please respond with your consultant resume  contact  Visa Status  rate and current location info to speed up the interview process. I will contact you if I need further details  Mukesh KathadMatrix Technology Group Certified Minority Business Enterprise  MBE  Phone              Fax    3        3 Email    mkathad matrixonweb.comURL   www.matrixonweb.com  ,"Seattle, WA",2 days ago,"Data Scientist or Engineer , Spark, Kafka, Mongo"
9,CyberCoders,    Minimum Required Skills Data Science  Python  scikit.learn  Virtual Environments  Bayesian Inference  Machine Learning algorithms  Prior teaching experience  not essential Are you attracted to a role where you can mostly work remote     of the time and pick your own data science project     of the time   This role is     teaching  onsite       working on business projects which can be mostly remote  possibility of some travel included   and     working on a data science project of your choice   write a book  work on research  take a pro bono project or anything else  data science related .Top Reasons to Work with UsThis is a full time role and also an amazing opportunity where for 3 months out of the year you get paid to work on whatever you like e.g. writing a book  research  a data science consulting assignment etc....Work for a company where you get to meet and interact with some of the most prestigious data scientists in the data science community.  We have guest speakers from across the globe who are leaders in our field.What You Will Be DoingThis is an opportunity to be both hands on with data science and also teach.We are looking for Data Scientists to be part of the our Data Science Instructional Team.  We seek individuals who love and excel at analyzing and visualizing data to solve important problems  are passionate about teaching others to be premier data scientists  and are fun to be around and work with.  An ideal candidate should be quick to learn and adapt  care about design of simple  powerful  beautiful interfaces and visuals  love writing code  thrive in creative team efforts  and also have interests and passions beyond data science.ResponsibilitiesOur Senior Data Scientists provide incredible and inspiring Data Science instruction  support the design and teaching of new products and courses and infuse their expertise into our business operations  and continually sharpen their skills through consulting and passion project explorations.    x Quarters in each year   Teaching the Data Science Bootcamp Senior Data Scientists spend half the year co teaching two    week bootcamps        students . On any given day  the amount of lecture time is     hours  and the remainder of the day is spent directly engaging with and coaching individually the students. Leading course discussions Providing personalized support to students Improving the quality of our curriculum  Offering career guidance and interview support  Quarter each year   Developing and Teaching New Courses and Supporting Business Operations Senior Data Scientists spend about one quarter of the year helping to create and teach new course offerings  as well as infusing our functional areas   admissions  marketing  careers  instructor recruitment    with their domain expertise. Creating new courses and or enhancing existing courses Providing data science training to corporations Interviewing and providing feedback on applicants Speaking at events and conferences Writing articles and blogs Assisting with instructor recruitment  Quarter each year   Sharpening Skills and Pursuing Data Science Passion Projects Senior Data Scientists spend about one quarter of the year focused entirely on enhancing their skill set and building their data science knowledge in whatever way they choose.  These three months are intended to be self driven.  Some ideas include  Consulting on pro bono data science projects  e.g.  with DataKind  Providing in house data science project expertise to specific companies Authoring a book related to data science Enrolling in data science classes Working on open source passion projectsWhat You Need for this PositionMust haves Machine Learning AlgorithmsPython + years INDUSTRY experience of data science Stellar communication skillsGenuine passion enthusiasm for educationPreferred skills experience Ideally Masters or PhD in quantitative fieldPrior teaching experienceWhat s In It for YouPerks of the Role Part of a team that is transforming education Three paid months per year to sharpen skills and pursue passion projects Competitive compensation package Opportunity to network and develop  both among our internal Data Science speaker community  as well as through our parent company which is a global organization Opportunity to work in different geographic locations  NYC  San Francisco  Chicago  Seattle So  if you are a Senior Data Scientist who wants to teach  get involved in the business AND get paid to spend 3 months a year working on a data science project of your choice  please apply today Applicants must be authorized to work in the U.S.Please apply directly to by clicking  Click Here to Apply  with your Word resume Looking forward to receiving your resume and going over the position in more detail with you.  Not a fit for this position  Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume CyberCodersCyberCoders  Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race  color  religion  sex  national origin  disability  protected veteran status  or any other characteristic protected by law.Your Right to Work   In compliance with federal law  all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright               . CyberCoders  Inc. All rights reserved.   ,"Seattle, WA",16 hours ago,Sr Data Scientist - part remote & PAID annual 3mth sabbatical!
