,comp_name,job_description,job_link,job_location,job_posted,job_title
0,CyberCoders,"<div class=""highlight-black"" id=""jobdescSec"">
			Minimum Required Skills:<br/>Data Scientist, Deep Learning, Machine Learning, Computer Vision, Algorithm Dev, Python, Java, Hadoop<br/><br/>Based in the Seattle, WA area, we are one of the most innovative Healthcare Data solutions companies in the area.  We are well-funded with premiere clients who are utilizing us to solve the most challenging healthcare issues we currently face.  Our team is composed of experts in the world of data processing with a leadership team that brings experiences from leading global scientific technology firms and pride themselves in their hands-on, mentor level management style. If you are a strong Senior Software Engineer with 3+ years Python OR Java OR C  and data mining and machine learning expertise (researching and figuring out how it works from a mathematical algorithm -&gt;  software standpoint), we would welcome the opportunity to discuss the details.<br/><br/>What You Need for this Position<br/><br/>Requirements:<br/>- 3+ years of Software Development in Python, Java, or similar<br/>- Master's Degree or PhD highly preferred.  Points if you have published papers on the same topics.<br/>- Algorithm development experience<br/>- Data Scientist background (deep learning, machine learning, algorithm dev)<br/>- Communicates very well<br/>- Research type<br/>- Excellent communication and written skills<br/><br/>Nice to have skills:<br/>- Strong interest in creating solutions to problems<br/>- Experience in and interest in learning new technologies<br/>- Experience managing multiple projects and working independently<br/><br/>Top Reasons to Work with Us<br/><br/>Fast growing.<br/>Well-funded.<br/>Start-up equity.<br/><br/>What's In It for You<br/><br/>We are willing to offer excellent compensation packages including annualized pay potential of $110k - $150k, EQUITY, and excellent benefits. We are located in a centrally located area with access to 2 major freeways, and plenty of parking.So, if you are a Software Engineer with data mining expertise (researching and figuring out how it works from a mathematical algorithm -&gt;  software standpoint), please apply today!<br/><br/>Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!<br/><br/>Looking forward to receiving your resume and going over the position in more detail with you.<br/><br/>- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.<br/><br/>Looking forward to receiving your resume!<br/><br/>CyberCoders<br/><br/><br/>CyberCoders, Inc is proud to be an Equal Opportunity Employer<br/><br/>All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.<br/><br/>Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.<br/><br/>Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.
		</div>","https://www.dice.com/jobs/detail/Data-Scientist-%28%22Fast-Growth%22-%26%2345-EQUITY%29-CyberCoders-Seattle-WA-98101/cybercod/ES1-13460873?icid=sr1-1p&q=data scientist&l=Seattle, WA","Seattle, WA",12 hours ago,Data Scientist (
1,CyberCoders,"<div class=""highlight-black"" id=""jobdescSec"">
			Minimum Required Skills:<br/>Data Science, Machine Learning, Statistics, R, Matlab, Big Data<br/><br/>Based in Bellevue, we are an international leader in mobile advertising. Our award-winning technology platform goes beyond traditional user engagement by retaining audience insights, improving application ROI, and rewarding high-quality users.<br/><br/>We are in the process of ramping up our data science/machine learning team and have an urgent need for a Data Scientist with a deep understanding of machine learning algorithms and statistics to join our group.  Specifically we have multiple openings for Data Scientists that have an interest and/or specialize in fraud detection or machine learning. We are looking for team players that possess a desirable yet unique skillset that will bring a distinctive perspective to the group, making our innovative software more scaleable and effective.<br/><br/>Top Reasons to Work with Us<br/><br/>1. Competitive pay and unbeatable bonus structure!!<br/>2. Industry leading technology platform that has won numerous awards <br/>3. Excellent company culture with strong corporate backing while maintaining a start-up feel<br/><br/>What You Will Be Doing<br/><br/>- Design, apply and integrate analytical strategies to identify fraudulent activity <br/>- Develop algorithms for predictive modeling and clustering <br/>- Monitor pattern discovery, outlier detection, and sample design<br/>- Oversee implementation of fraud detection and predictive models<br/><br/>What You Need for this Position<br/><br/>- Ideally 3+ years of experience in data science related role <br/>- Fluent in Python, R, or Matlab <br/>- Experience working with open source technologies <br/>- High-level understanding of machine learning, probability and/or statistics <br/>- Experience working in the advertising industry highly desirable<br/>- Experience working with Big data technologies such as HDFS, Hadoop, and HBase not required preferred<br/><br/>What's In It for You<br/><br/>- Competitive salary <br/>- Unbeatable bonus program (seriously though)<br/>- Comprehensive benefits package including medical, dental, and vision <br/>- Generous PTO plus company paid holidays <br/>- Excellent company culture <br/>- Startup feel with larger company stability <br/>- Creative flexibility and total product ownershipSo, if this sounds like you, please apply today!<br/><br/>Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!<br/><br/>Looking forward to receiving your resume and going over the position in more detail with you.<br/><br/>- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.<br/><br/>Looking forward to receiving your resume!<br/><br/>CyberCoders<br/><br/><br/>CyberCoders, Inc is proud to be an Equal Opportunity Employer<br/><br/>All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.<br/><br/>Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.<br/><br/>Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.
		</div>","https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Statistics%26%2347Probability%26%2347Machine-Learning-CyberCoders-Bellevue-WA-98004/cybercod/KK1-132606797?icid=sr2-1p&q=data scientist&l=Seattle, WA","Bellevue, WA",12 hours ago,Data Scientist - Statistics/Probability/Machine Learning
2,CyberCoders,"<div class=""highlight-black"" id=""jobdescSec"">
			Minimum Required Skills:<br/>Data Science, Artificial Intelligence, Machine Learning, Masters or PHD (CS/AI/Machine Learning), Statistical Analysis, Open Source Machine/Deep Learning Frameworks<br/><br/>Based in Seattle, we're an incredibly versatile company creating and executing global initiatives using technology like machine learning, and artificial intelligence in order to address major world wide issues from climate change, to saving an endangered species!<br/><br/>If you are a Data Scientist or Machine Learning Engineer with experience leading a technical team, please read on!<br/><br/>What You Will Be Doing<br/><br/>- Lead a technical team of brilliant Machine Learning and Artificial Intelligence engineers<br/>- Utilize Open Source Frameworks to tackle challenging problems <br/>- Deliver Solutions to Complex Problems Utilizing Statistical Analysis<br/><br/>What You Need for this Position<br/><br/>At Least 3 Years of experience and knowledge of:<br/><br/>- Artificial Intelligence, Machine/Deep Learning, Computer Vision<br/>- Masters or PHD (Computer Science or Artificial Intelligence or Machine Learning)<br/>- Statistical Analysis<br/>- Open Source Machine/Deep Learning Frameworks<br/><br/>What's In It for You<br/><br/>- Competitive Base Salary Between 110-150k<br/>- Excellent Benefits<br/>- Great PTO Policy<br/>- Work/Life Balance<br/>- Minimal Travel (~10%)So, if you are a Data Scientist or Machine Learning Engineer with experience leading a technical team, please apply today!<br/><br/>Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!<br/><br/>Looking forward to receiving your resume and going over the position in more detail with you.<br/><br/>- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.<br/><br/>Looking forward to receiving your resume!<br/><br/>CyberCoders<br/><br/><br/>CyberCoders, Inc is proud to be an Equal Opportunity Employer<br/><br/>All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.<br/><br/>Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.<br/><br/>Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.
		</div>","https://www.dice.com/jobs/detail/Lead-Data-Scientist-%26%2345-Machine-Learning%2C-Statistical-Analysis-CyberCoders-Seattle-WA-98101/cybercod/MY1-134389611?icid=sr3-1p&q=data scientist&l=Seattle, WA","Seattle, WA",12 hours ago,"Lead Data Scientist - Machine Learning, Statistical Analysis"
3,CyberCoders,"<div class=""highlight-black"" id=""jobdescSec"">
			Minimum Required Skills:<br/>Data Science, Artificial Intelligence, Machine Learning, Masters or PHD (CS/AI/Machine Learning), Statistical Analysis, Open Source Machine/Deep Learning Frameworks<br/><br/>Based in Seattle, we're an incredibly versatile company creating and executing global initiatives using technology like machine learning, and artificial intelligence in order to address major world wide issues from climate change, to saving an endangered species!<br/><br/>If you are a Data Scientist or Machine Learning Engineer with experience leading a technical team, please read on!<br/><br/>What You Will Be Doing<br/><br/>- Lead a technical team of brilliant Machine Learning and Artificial Intelligence engineers<br/>- Utilize Open Source Frameworks to tackle challenging problems <br/>- Deliver Solutions to Complex Problems Utilizing Statistical Analysis<br/><br/>What You Need for this Position<br/><br/>At Least 3 Years of experience and knowledge of:<br/><br/>- Artificial Intelligence, Machine/Deep Learning, Computer Vision<br/>- Masters or PHD (Computer Science or Artificial Intelligence or Machine Learning)<br/>- Statistical Analysis<br/>- Open Source Machine/Deep Learning Frameworks<br/><br/>What's In It for You<br/><br/>- Competitive Base Salary Between 110-150k<br/>- Excellent Benefits<br/>- Great PTO Policy<br/>- Work/Life Balance<br/>- Minimal Travel (~10%)So, if you are a Data Scientist or Machine Learning Engineer with experience leading a technical team, please apply today!<br/><br/>Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!<br/><br/>Looking forward to receiving your resume and going over the position in more detail with you.<br/><br/>- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.<br/><br/>Looking forward to receiving your resume!<br/><br/>CyberCoders<br/><br/><br/>CyberCoders, Inc is proud to be an Equal Opportunity Employer<br/><br/>All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.<br/><br/>Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.<br/><br/>Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.
		</div>","https://www.dice.com/jobs/detail/Lead-Data-Scientist-%26%2345-Machine-Learning%2C-Statistical-Analysis-CyberCoders-Seattle-WA-98101/cybercod/MY1-133696747?icid=sr4-1p&q=data scientist&l=Seattle, WA","Seattle, WA",12 hours ago,"Lead Data Scientist - Machine Learning, Statistical Analysis"
4,TRIAD Group,"<div class=""highlight-black"" id=""jobdescSec"">
<p><strong>Senior Data Scientist</strong></p><p>Bellevue, WA</p><p>FTE – fulltime Perm employee opportunity with one of the best funded and hottest start-ups in the area!   </p><p>We are building highly powerful intelligence products and services atop large-scale datasets.  And, have multiple Data Scientist positions open (so bring along a friend or two!).  These are not entry level roles; only midlevel and above.  The better job you do of describing your industry experience and qualifications, the faster our reply.</p><p> </p><p>Areas of interest:  we are primarily looking for candidates who have strong industry experience in either data analytics around Fraud/Risk management, or in Forecasting/Growth models.</p><p><strong> </strong></p><p><strong>Compensation:</strong> </p><p>Your salary will be highly competitive (we will not lose a good candidate on salary).  As for equity, you will be given a very generous stock option plan.  And, we truly care about the health and well-being of our employees, so besides some additional perks, 100% of your medical/dental/vison insurance premiums will be paid for.</p><p> </p><p> </p><p><strong>Requirements:</strong></p><p>1)      BS, MS, or PhD degree in Computer Science, Math, Physics, or related.</p><p>2)      4-8+ years of relevant industry experience – data science, machine learning, market research/analytics, predictive analytics, statistical modeling, and/or other related areas of interest.</p><p>3)      Proficient in designing and scaling production models; knowledgeable in data tools and scientific computing with Python.</p><p>4)      Experienced in Python (SciPy, NumPy, Scikit-learn, and Pandas).</p><p>5)      Also prefer experience in R, SQL, and Octave.</p><p> </p><p> </p><p>Please forward a copy of your resume, along with any additional information, to:</p><p>Bruce Root</p><p>TRIAD Group</p><p>Bellevue, WA</p><p><a href=""mailto:broot@triadgroup.com"">broot@triadgroup.com</a></p><p>425-454-0282 ext.130</p><p> </p><p>We look forward to hearing from you!</p>
</div>","https://www.dice.com/jobs/detail/Senior-Data-Scientist-TRIAD-Group-Bellevue-WA-98004/TRIADW/837352?icid=sr5-1p&q=data scientist&l=Seattle, WA","Bellevue, WA",7 hours ago,Senior Data Scientist
5,TRIAD Group,"<div class=""highlight-black"" id=""jobdescSec"">
<p>I’m working with a well-funded start-up that is disrupting a rapidly-growing, lucrative industry.  Having closed one of the biggest funding rounds in Washington earlier this year, my client is looking to add ~50 employees to their downtown Seattle office to further service a half billion dollar market.  They are well poised to do so, with a customer-focus approach that leverages mobile technologies that makes their service simple, fast and affordable.  Though they are growing quickly, their culture is important to them- and they want you to be a part of it!</p><p>From a technical perspective, we’re looking for:</p><ul><li>Advanced degree in Computer Science, Math, Statistics or similar quantitative field</li><li>4+ years of experience in machine learning</li><li>Strong coding skills in Java, Python or Scala</li><li>Experience with at least one analytics toolkit</li></ul><p>We offer exceptional equity, strong base compensation and excellent benefits.  Please submit qualifying resumes for immediate consideration.</p>
</div>","https://www.dice.com/jobs/detail/Sr.-Data-Scientist-TRIAD-Group-Seattle-WA-98101/TRIADW/843930?icid=sr6-1p&q=data scientist&l=Seattle, WA","Seattle, WA",2 weeks ago,Sr. Data Scientist
6,"VanderHouwen & Associates, Inc.","<div class=""highlight-black"" id=""jobdescSec"">
<font face=""Verdana"" size=""2""><p class=""MsoNormal"" style=""MARGIN: 0in 0in 0pt""><strong><span style='FONT-SIZE: 10pt; FONT-FAMILY: ""Verdana"",sans-serif; BACKGROUND: #ff8000; COLOR: black'>PLEASE JOIN OUR TALENT NETWORK:</span></strong><span style='FONT-SIZE: 10pt; FONT-FAMILY: ""Verdana"",sans-serif; BACKGROUND: #ff8000; COLOR: black'> </span><a href=""http://bit.ly/vhatalentnetwork""><span style='FONT-SIZE: 10pt; FONT-FAMILY: ""Verdana"",sans-serif'><font color=""#0563c1"">http://bit.ly/vhatalentnetwork</font></span></a><span style='FONT-SIZE: 10pt; FONT-FAMILY: ""Verdana"",sans-serif'><br/></span><span style='FONT-SIZE: 8pt; FONT-FAMILY: ""Verdana"",sans-serif'>Joining the Talent Network with VanderHouwen &amp; Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.</span><?xml:namespace prefix = ""o"" ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p><br/> </p></font><font face=""Verdana"" size=""2"">Summary<br/>Our client is seeking an outstanding Sr. Data Scientist to uncover key insights on how vendors behave through the *procure to pay* process. As selection continues to grow through retail and marketplace business lines, our client is seeking better understanding of how to improve processes and overall experience. </font><br/><font face=""Verdana"" size=""2"">The Sr. Data Scientist will have the opportunity to work on one of the world's largest data sets, as well as influence the long term evolution of its analytics capability. This role should have excellent technical, business and communication skills to be able to work with vendor managers, sellers, inbound supply chain and finance operations to develop and define key business questions, build data acquisition processes, data sets, statistical models and analysis that answer those questions. </font><br/><font face=""Verdana"" size=""2"">This role should excel at analytic problem-solving and approach high-level challenges with a clear eye on what is important, employing the right approach/methods to make the maximum use of time and human resources. This role will detail techniques and discoveries to technical and non-technical audiences in a language that can be understood. This role requires intellectual curiosity, exploring new territories and finding creative and unusual ways to solve problems.</font><br/><font face=""Verdana"" size=""2"">Responsibilities<br/>Conduct undirected research with regards to ordering, receipt and paying for goods sold through global consumer platforms.<br/>Extract huge volumes of data from multiple internal and external sources.<br/>Employ sophisticated analytics programs, machine learning and statistical methods to prepare data for use in predictive and prescriptive modeling.<br/>Explore and examine data from a variety of angles to determine hidden weaknesses, trends and/or opportunities.<br/>Devise data-driven solutions to the most pressing challenges.<br/>Invent new algorithms to solve problems and work with technical teams to build new tools to automate work or provide transparency to issues.<br/>Communicate predictions and findings to management and IT departments through effective data visualizations and reports.<br/>Recommend cost-effective changes to existing procedures and strategies to improve the *procure to pay* processes.</font><br/><font face=""Verdana"" size=""2"">Qualifications Required<br/>MS degree in Econometrics, Statistics, Operations Research, Optimization, Data Mining, Analytics, or other quantitative field.<br/>5+ years* professional experience in Analytics or other quantitative disciplines.<br/>Advanced experience and skill level with SAS, R and SQL.<br/>Proven experience developing sound analytics-based solutions to business problems, critical thinking, and attention to detail.<br/>Excellent written and verbal communication skills. The ability to explain technical concepts and analyses implications clearly to a wide audience, and be able to translate business objectives into actionable analyses is required.</font><br/><font face=""Verdana"" size=""2"">Qualifications Preferred<br/>PhD in a quantitative field and completed graduate school thesis (or dissertation).<br/>Demonstrated ability to manage multiple competing priorities simultaneously and drive projects to completion.<br/>3+ years* professional experience presenting in front of and influencing senior leadership.<br/></font><font size=""2""></font>
</div>","https://www.dice.com/jobs/detail/Sr.-Data-Scientist-VanderHouwen-%26-Associates%2C-Inc.-Seattle-WA-98101/vhassoc/32248-1807-MH58?icid=sr7-1p&q=data scientist&l=Seattle, WA","Seattle, WA",4 hours ago,Sr. Data Scientist
7,"Radiansys, Inc.","<div class=""highlight-black"" id=""jobdescSec"">
<p><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Hello,<br/>please send your resume at: </span></span><a href=""mailto:jim@radiansys.com"" target=""_blank""><span style=""color: #1155cc;""><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">jim@radiansys.com</span></span></span></a><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;""> <br/><br/>I am looking for a <strong>Data Scientist </strong>at <strong>Redmond, WA / Omaha, NE</strong> and the details are mentioned below. <br/><br/><strong>Title: Data Scientist</strong></span></span><br/><strong><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Location: Redmond, WA / Omaha, NE</span></span></strong><br/><strong><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Hiring: Contract</span></span></strong><br/><strong><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Duration: 12+ Months</span></span></strong><br/><br/><strong><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Responsibilities:</span></span></strong></p><ul><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Collaborating with business stakeholder, data science staff and data engineers to build and improve and expand Nature Language Processing model and platform.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Collecting requirements and onboarding new products onto the existing NLP platform.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Performing hands on analysis with large unstructured or semi-structured data set to improve the performance of incidents classification models and platform. </span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Piloting and prototyping new NLP capabilities to add to the platform, e.g. search engine, topic extraction, and etc.</span></span></li></ul><p><strong><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Requirements:</span></span></strong></p><ul><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Proficiency in programing language like C#, Python.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Proficiency in handling unstructured and semi-structured data.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Proficiency in data mining and text mining toolkits in R, NLTK, scikit-learn, and etc.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Proficiency in SQL and relational databases. Experience with SCOPE is a big plus.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Knowledge of REST API and Azure development.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Excellent analytical and problem solving skills with hands on experience working with large datasets.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">3+ years of experiences in hands on Machine Learning development role.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Excellent oral and written communication skills and collaborative skills.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Advanced degree in Statistics, Operation Research, Computer Science or related field of study or equivalent experience.</span></span></li></ul><p><strong><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Preferred Experiences:</span></span></strong></p><ul><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Experience with open source search engine like ElasticSearch or Solr is highly preferred</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Experience with big data platform like Hadoop or COSMOS is highly preferred.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Experience with Azure Data Factory, Azure Data Lake, Redis, Azure EventHub is a big plus.</span></span></li><li><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Experience with Scrum/Agile development model.</span></span></li></ul><p><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Interested candidate can apply at: <strong>jim[at]radiansys[dot]com</strong>.</span></span><br/><br/><span style=""font-family: georgia,serif;""><span style=""font-size: 9pt;"">Regards </span></span><br/><strong><span style=""font-family: georgia,serif;""><span style=""font-size: 8pt;"">Jim Hudson </span></span></strong><br/><strong><em><span style=""font-family: georgia,serif;""><span style=""font-size: 8pt;"">Senior Account Manager </span></span></em></strong><strong><em><span style=""font-family: georgia,serif;""><span style=""font-size: 8pt;"">RadianSys Inc.</span></span></em></strong><br/><span style=""font-family: georgia,serif;""><span style=""font-size: 8pt;"">39510 Paseo Padre Pkwy #110, Fremont, CA 94538<br/>Direct: 510 790 2000 Ext 1008</span></span></p>
</div>","https://www.dice.com/jobs/detail/Data-Scientist-Radiansys%2C-Inc.-Redmond-WA-98052/10280377/17-00352?icid=sr8-1p&q=data scientist&l=Seattle, WA","Redmond, WA",21 minutes ago,Data Scientist
8,Comtech LLC,"<div class=""highlight-black"" id=""jobdescSec"">
<p><strong>Job Description</strong></p><p>Are you interested in shaping the future of movies, television, and digital video? Do you want to define what video content customers are watching? Video Direct (VD) is a self-service platform that enables any video creator to publish video to reach millions of customers globally and monetize from the sales and consumption.</p><p>Video content risk inspection team is chartered to protect and mitigate any inappropriate/disappointing content as well as any copyright infringement content to provide a trust-worthy customer experience as well as secure existing provider relationships.</p><p>On the team you’ll be able to get your hands on lots of technologies to build distributed, scalable, low-latency solutions for real-world customer facing problems.  We are looking for an Senior Research Scientist who can work on different aspects of the video content, like text metadata, video, audio and images to apply from variety of techniques in computer vision, deep learning, machine learning and image processing algorithms to build content risk inspection systems. You will be contributing to a platform from the very early stages which will process terabytes of video content data. You will collaborate with other research scientist across to define the scope of the product, identify and initiate investigations of new technologies, prototype, test solutions and ability to web-lab performance between different approaches that generates a high-precision, low latency prediction models and deliver an exceptional customer experience. You will work closely with the software development teams to build robust vision-based solutions for customer-facing applications. You should be comfortable with a large degree of ambiguity and relish the idea of solving problems that, frankly, haven’t been solved at scale before. Along the way, we guarantee that you’ll learn a ton, have fun and make a positive impact on millions of people.</p><p><strong>Basic Qualifications</strong></p><ul><li>PhD in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field</li><li>Depth and breadth in state-of-the-art computer vision and machine learning technologies</li><li>5+ years of hands-on experience in predictive modeling and analysis</li><li>Strong algorithm development experience</li><li>Skills with Java, C++, or other programming language, as well as with R, MATLAB, Python or similar scripting language</li></ul><p><strong>Preferred Qualifications</strong></p><ul><li>10+ years of relevant experience in industry and/or academia.</li><li>Publications at top-tier peer-reviewed conferences or journals</li><li>Proven track record of innovation in creating novel algorithms and advancing the state of the art</li><li>Depth and breadth in state-of-the-art computer vision and machine learning technologies.</li></ul><p> </p><p> </p><div><span style=""font-family: arial, helvetica, sans-serif; font-size: small;""><strong>Thanks &amp; Regards,</strong></span></div><div><span style=""font-family: arial, helvetica, sans-serif; font-size: small;""><strong>Matthew</strong></span></div><div><strong>US-IT-Staffing</strong><span style=""font-family: arial, helvetica, sans-serif; font-size: small;""><strong><br/></strong></span></div><div><span style=""font-family: arial, helvetica, sans-serif; font-size: small;""><strong>Phone: (Direct) +1 703 722 8126</strong></span></div>
</div>","https://www.dice.com/jobs/detail/Senior-Research-Scientist-OR-Data-Scientist-Comtech-LLC-Seattle-WA-98108/10116268/809479?icid=sr9-1p&q=data scientist&l=Seattle, WA","Seattle, WA",11 hours ago,Senior Research Scientist OR Data Scientist
9,Matrix Technology Group,"<div class=""highlight-black"" id=""jobdescSec"">
<p><strong>Hello ,</strong></p><p><strong> Matrix Technology Group</strong> is a highly recognized provider of professional IT Consulting services in the US.  Founded in 1998, Matrix Technology Group is an ERP, BI and Application Development consulting services provider.</p><p>Here is our Direct Client requirement. Kindly respond to this requirement with your <strong>consultant resume, contact, visa status, rate and current location</strong> info to <strong>speed up the interview process. </strong></p><p> </p><p><strong>Role: Data Scientist </strong></p><p><strong>Must Skills : Java, AWS, Spark/kafka, Data Analysis and predictive modeling</strong></p><p><strong>Location: Seattle, WA</strong></p><p><strong>Duration: 6+ Months</strong></p><p><strong>Extension Possible : Yes</strong></p><p> </p><p><strong>Job Description</strong></p><ul><li>Java/AWS (Data Scientist/Engineer)   [Java or Python ,Spark/Kafka , BigData ,  SQL and NoSQL databases , data analysis and predictive modeling]</li><li>1+ year in AWS is must along with 5+ years in Java.</li></ul><p> </p><p>Please respond with your <strong>consultant resume</strong>, <strong>contact</strong>, <strong>Visa Status</strong>, <strong>rate </strong>and <strong>current location</strong> info to speed up the interview process. I will contact you if I need further details</p><p> </p><p> </p><p>Mukesh Kathad</p><p>Matrix Technology Group</p><p>""Certified Minority Business Enterprise (MBE)""</p><p>Phone: 908 279 1241</p><p>Fax : 732-909-2631</p><p>Email:-  <a href=""mailto:mkathad@matrixonweb.com"">mkathad@matrixonweb.com</a></p><p>URL:  <a href=""http://www.matrixonweb.com"">www.matrixonweb.com</a></p><p> </p>
</div>","https://www.dice.com/jobs/detail/Data-Scientist-or-Engineer-%2C-Spark%2C-Kafka%2C-Mongo-Matrix-Technology-Group-Seattle-WA-98101/mategr/9501SPARKKAFKAM?icid=sr10-1p&q=data scientist&l=Seattle, WA","Seattle, WA",4 days ago,"Data Scientist or Engineer , Spark, Kafka, Mongo"
