,skill,count
0,java,2395
1,sql,2272
2,javascript,1186
3,python,1096
4,hadoop,776
5,c++,564
6,r,513
7,spark,486
8,excel,410
9,scala,317
10,mysql,303
11,ruby,290
12,powerpoint,282
13,perl,233
14,tableau,228
15,cassandra,228
16,hbase,189
17,mongodb,172
18,splunk,150
19,php,146
20,rdbms,144
21,saas,123
22,bash,107
23,pig,105
24,postgresql,91
25,mapreduce,85
26,nosql,76
27,matlab,61
28,d3,55
29,spotfire,34
30,sas,31
31,hive,31
32,flume,28
33,mahout,22
34,mssql,21
35,spss,13
36,zookeeper,12
37,scipy,8
38,oozie,8
